Group,best_cv_roc_auc,param_n_estimators,param_learning_rate,param_max_depth,param_subsample,param_max_features,param_min_samples_leaf,test_accuracy,test_roc_auc
Mastectomy,0.9394313745029959,400,0.04039184871509312,3,0.6352710484024806,,3,0.8290598290598291,0.9167201540436458
BCS,0.9024693358175202,400,0.01011377152362042,3,0.6027574259329095,,8,0.8853503184713376,0.9474112666883752
