covariate,hazard_ratio,ci_lower,ci_upper,p_value
age_at_diagnosis,1.0327662128633648,1.0276108963098498,1.0379473925999798,1.4906626384251685e-36
lymph_nodes_examined_positive,1.0393930330501966,1.026463598585141,1.0524853279185014,1.4509395324966484e-09
tumor_size,1.008168225543625,1.0050214405750468,1.0113248632926901,3.3912257918315856e-07
nottingham_prognostic_index,1.1472121387870766,1.0837361989151757,1.2144059529411642,2.2571997776061983e-06
mastectomy,1.235164164958681,1.0999308789824263,1.3870239880977566,0.00035713240591865657
chemotherapy_yes,1.2698717767439596,1.0775966286370173,1.4964545048832438,0.0043430518155501505
hormone_therapy_yes,0.9474660904908143,0.8387148243257747,1.0703184999163258,0.3856599925788514
mutation_count,1.0036373867475907,0.9942421388807814,1.0131214164905917,0.44927864450465826
