Classifier,Training/Testing,Accuracy,Precision,Recall,F1-score,ROC-AUC
LightGBM,test,0.873,0.897,0.824,0.859,0.916
LightGBM,train,1.0,1.0,1.0,1.0,1.0
CatBoost,test,0.885,0.924,0.824,0.871,0.939
CatBoost,train,0.99,0.991,0.988,0.99,1.0
